Model;Duration_s;Inference_Time_s;RTF;WER;Ref;Pred
openai/whisper-tiny;8.58;0.575;0.067;0.2857;timtim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan;tim tim virtual memiliki standard keunggulan yang sama dengan tim konfensional tetapi ada sedikit perbedaan
openai/whisper-tiny;7.68;0.2916;0.038;0.6667;segera setelah permusuhan pecah britania memulai blokade laut jerman;segera setelah permusuhan pecah pita nih yang memulai blokad ilau cerman
openai/whisper-tiny;9.48;0.3629;0.0383;0.3529;semua nomina di samping kata sie untuk anda selalu dimulai dengan huruf kapital bahkan di tengah kalimat;semua nominah di sampen rata sih untuk anda selalu dimulai dengan hokkapital bahkan di tengah kalimat
openai/whisper-tiny;9.48;0.2654;0.028;0.1667;ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu;ini sepertinya masuk akal karena kami tidak terasa seperti perkara bukan begitu
openai/whisper-tiny;12.3;0.4461;0.0363;0.5;di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun;diisisi lain kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun
openai/whisper-tiny;7.32;0.3512;0.048;0.6923;kambing tampaknya mulai dijinakkan sekitar 10000 tahun lalu di pegunungan zagros di iran;kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di iran
openai/whisper-tiny;5.22;0.1785;0.0342;0.2222;di kepulauan dan danau anda tidak perlu kapal pesiar;di kebuluhan dan danau anda tidak perlu kapal kesiara
openai/whisper-tiny;20.1;0.6816;0.0339;0.4074;pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang;tom beritahuan reguler di metro hanya menggunakan fahasah katalan tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah antara lain sepanol ingriis pransis arah dan cepan
openai/whisper-tiny;13.92;0.4173;0.03;0.4706;ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan sanparks;ini adalah salah satu atrak di utama afrika selatan dan diangkapsip ke anggalan taman najuna afrika selatan dengan gurusandpap
openai/whisper-tiny;7.98;0.3615;0.0453;0.625;mereka memiliki kaki dengan sisik dan cakar bertelur dan berjalan dengan dua kaki belakang seperti trex;mereka mau lakilaki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir
openai/whisper-tiny;15.96;0.7309;0.0458;0.4138;dia juga terlibat dalam pengukiran uang kertas untuk banyak negara contoh karyanya yang terbaru termasuk potret perdana menteri di bagian depan uang kertas 5 dan 100 kanada yang baru;dia juga terlibat dalam pengokiran uang kertas untuk banyak negara sontok hari yang yang terbaru termasuk potret perdanaman 3 dibagian depan uang kertas lima dolar dan seratu stolar kanada yang baru
openai/whisper-tiny;15.78;0.6889;0.0437;0.5484;orangorang telah mengenal unsurunsur kimia dasar seperti emas perak dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alatalat primitif;orangurang telah mengenal un surun seru kimiya dan sar seperti mas perak dan tembaga jadi zaman kunuh karena semua ini dapat ditemukan di alam dalam menukasliya dengan ralatek muda ditambang dengan halat alat primitif
openai/whisper-tiny;14.04;0.6293;0.0448;0.3333;dibangun oleh orangorang mesir pada abad ketiga sm piramida agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati firaun yang telah meninggal dunia;di bangun oleh orangorang masyir pada abad ketiga sebelum masyih diramida agung rupekan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormatifierahun yang telah meninggal dunia
openai/whisper-tiny;12.78;0.6365;0.0498;0.4167;sultan maroko membangun kembali kota tersebut menjadi daru ibadya kota tersebut kemudian dinamai casablanca oleh para pedagang spanyol yang mendirikan basis perdagangan di sana;sultan maroukou memahun kembali kota tersebut menjadi deru ibadia kota tersebut kemudian di namaikasa belangka oleh para pedagong spanyol yang mendirikan bahasis pedagongan di sana
openai/whisper-tiny;14.1;0.5682;0.0403;0.4211;wisatawan yang bepergian ke negaranegara berpajak yang tinggi kadangkadang bisa menghemat uang untuk produkproduk seperti minuman beralkohol dan tembakau;wisatawan yang berperkian kena karankara perpaca yang tinggi kadangkadang bisa menghemat wang untuk produkproduks seperti minuman per alkohol dan tembakau
openai/whisper-tiny;22.56;0.763;0.0338;0.5;walaupun sering kali ini hanya stereotip yang tidak akurat cara terbaik untuk tetap bergaul di paris adalah dengan berperilaku terbaik bertindak seperti seseorang yang bien ã©levã© dibesarkan dengan baik hal tersebut membuat perjalanan berkeliling anda jauh lebih mudah;walaupun serengkali ini hanya teryo tip yang tidak akurat cara terbaik untuk letapberkali tipades adalah dengan berperlaku terbaik pertindasipatis orang yang bian akuleopart tipesarkan dengan baik hal tersebut membuat percalaan perkali yang anda cau lebih mudah
openai/whisper-tiny;10.5;0.2642;0.0252;0.3846;casablanca adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh maroko;kasa planka adalah salah satu tempat paling tidak menarik untuk berplanjati seluruh maruku
openai/whisper-tiny;6.78;0.2408;0.0355;0.4167;orangorang sekarang menulis pesan di layar komputer tidak pernah harus menggunakan rautan;orang orang sekarang menunis pesan tilayar komputer tidak pernah harus menggunakan rautan
openai/whisper-tiny;7.32;0.2345;0.032;0.2727;namun ada banyak hal tentang burung yang masih terlihat seperti dinosaurus;namun ada banyak hal tentang furung yang masih terlihat seperti tino saurus
openai/whisper-tiny;20.34;0.5624;0.0277;0.4167;institut keadilan dan demokrasi haiti telah mereferensikan penelitian independen yang mengemukakan batalion penjaga perdamaian pbb nepal secara tanpa sadar membawa penyakit itu ke haiti;institu keatilan dan demokrasi haiti telah mereferensikan pendalitian indi penden yang mengmukakan fatal yang penjaga pertama ppp nepal secara tanpa sadar membawa penyakit itu ke haiti
openai/whisper-tiny;13.44;0.3308;0.0246;0.1053;hal ini memberikan kesempatan yang baik untuk melihat aurora borealis karena langit akan lebih gelap pada sekitar waktu tersebut;hal ini memberikan kesempatan yang baik untuk melihat aurora puri alis karena langit akan lebih gelap pada sekitar waktu tersebut
openai/whisper-tiny;13.38;0.48;0.0359;0.3667;ini adalah tempat yang direbut oleh penjajah inggris sebagai milik mereka dan apabila anda sedang mencari bukti wilayah kolonial di masa lalu di sini adalah tempat yang tepat untuk memulai;ini adalah tempat yang terput oleh penjajang pada sepakai mini mereka dan apabila anda sedang menjadi publih gelaya kolonial dimasalalu di sini adalah tempat yang tepat untuk memulai
openai/whisper-tiny;8.22;0.2982;0.0363;0.4118;beberapa atom memiliki inti yang tidak stabil yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan;berperapa atau memiliki yang tidak stabil yang berarti atum cenderung kecak dengan sticket atau tanpa santohan
openai/whisper-tiny;9.96;0.3045;0.0306;0.375;ion hidrogen adalah proton yang elektronnya dilucuti sebab atom hidrogen memiliki satu proton dan satu elektron;ion hidroken adalah proton yang elektronia di lujuti sebab atom hidroken memuliki satu proton dan satu elektron
openai/whisper-tiny;11.76;0.37;0.0315;1.1667;segregasi dan rekombinasi mengocok variasi bolakbalik antara dua kolam dengan masingmasing generasi;saya kreatasi tanrnya kombinasi menunur otos varian pelas palik antara dua kelolang dengan masi masi yang kenurasi
openai/whisper-tiny;13.14;0.4851;0.0369;0.2778;peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekelompok orang yang hidup dan bekerja bersama sebagai masyarakat;pergadaban adalah sebuah kebudayaan tunggal yang dicilankan bersama oleh sekolah peorang yang hidup dan bukannya bersama sebagai masyarakat
openai/whisper-tiny;6.18;0.3406;0.0551;0.75;serupa halnya dengan itu pria diharuskan memakai celana panjang yang menutup lutut;serupa hanya teman itu periatih haruskan memakai cara nampak cali yang menotuh pelutuh
openai/whisper-tiny;20.94;0.8295;0.0396;0.3929;ini tidak sendirian eksperimentasi dan sebuah eksperimen adalah tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis mengajukan pertanyaan dan membuat pengamatan juga memandu penelitian ilmiah;ini tidak sendiri yang terlihat dan sebuah eksperimeng dan calah test yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotasis mengajukan pertanyaan dan membuat pengamatan juga memanduk pengerlipia ilmiya
openai/whisper-tiny;10.32;0.3771;0.0365;0.6429;saat ia bekerja di rumah sakit liggins mulai menyelidiki persalinan prematur selama waktu luangnya;setiap sekerti rumah saat itu mungkin mulai nyelitikit persalinan premator selama waktu luangnya
openai/whisper-tiny;11.88;0.4063;0.0342;0.3889;kota ini sangat kontras dengan kotakota lain di negara tersebut sebab kota tersebut lebih bergaya arab ketimbang afrika;kota ini sangat contrast dengan kota kota lain di negara tersebut sepat kota tersebut lebih berkejarat ke timbang afrika
openai/whisper-small;8.58;1.4243;0.166;0.0;timtim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan;timtim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan
openai/whisper-small;7.68;1.1139;0.145;0.2222;segera setelah permusuhan pecah britania memulai blokade laut jerman;segera setelah permusuhan pecah britania memulai blokadel laut cerman
openai/whisper-small;9.48;1.1228;0.1184;0.2941;semua nomina di samping kata sie untuk anda selalu dimulai dengan huruf kapital bahkan di tengah kalimat;semua nomina disamping katasi untuk anda selalu dimulai dengan log kapital bahkan di tengah kalimat
openai/whisper-small;9.48;0.9302;0.0981;0.0;ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu;ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu
openai/whisper-small;12.3;1.568;0.1275;0.0;di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun;di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun
openai/whisper-small;7.32;1.143;0.1562;0.3077;kambing tampaknya mulai dijinakkan sekitar 10000 tahun lalu di pegunungan zagros di iran;kamping tampaknya mulai dijinakan sekitar 10000 tahun lalu dipegunungan zagros di iran
openai/whisper-small;5.22;0.7625;0.1461;0.2222;di kepulauan dan danau anda tidak perlu kapal pesiar;di kepuluan dan danau anda tidak perlu kapal besiara
openai/whisper-small;20.1;2.0992;0.1044;0.037;pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang;temberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang
openai/whisper-small;13.92;1.3065;0.0939;0.2353;ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan sanparks;ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan dalam gulung san paks
openai/whisper-small;7.98;1.2201;0.1529;0.1875;mereka memiliki kaki dengan sisik dan cakar bertelur dan berjalan dengan dua kaki belakang seperti trex;mereka memuliki kaki dengan sisi dan cakar bertelur dan berjalan dengan dua kaki belakang seperti direk
openai/whisper-small;15.96;2.1986;0.1378;0.069;dia juga terlibat dalam pengukiran uang kertas untuk banyak negara contoh karyanya yang terbaru termasuk potret perdana menteri di bagian depan uang kertas 5 dan 100 kanada yang baru;dia juga terlibat dalam pengukiran uang kertas untuk banyak negara contoh karyanya yang terbaru termasuk potret perdana menteri di bagian depan uang kertas 5 dolar dan 100 dolar kanada yang baru
openai/whisper-small;15.78;3.4566;0.2191;0.0645;orangorang telah mengenal unsurunsur kimia dasar seperti emas perak dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alatalat primitif;orangorang telah mengenal unsurunsur kimia dasar seperti mas perak dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif muda ditambang dengan alatalat primitif
openai/whisper-small;14.04;3.4685;0.247;0.1111;dibangun oleh orangorang mesir pada abad ketiga sm piramida agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati firaun yang telah meninggal dunia;dibangun oleh orangorang mesir pada abad ketiga sebelum masehi piramida agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati viraun yang telah meninggal dunia
openai/whisper-small;12.78;3.1232;0.2444;0.25;sultan maroko membangun kembali kota tersebut menjadi daru ibadya kota tersebut kemudian dinamai casablanca oleh para pedagang spanyol yang mendirikan basis perdagangan di sana;sultan marokko membahun kembali kota tersebut menjadi daru ibadia kota tersebut kemudian dinamai kasa belangka oleh para pedagang spanyol yang mendirikan basis pedagangan di sana
openai/whisper-small;14.1;2.3569;0.1672;0.1579;wisatawan yang bepergian ke negaranegara berpajak yang tinggi kadangkadang bisa menghemat uang untuk produkproduk seperti minuman beralkohol dan tembakau;wisa tawan yang bepergian ke negaranegara berpaca yang tinggi kadangkadang bisa menghemat uang untuk produkproduk seperti minuman beralkohol dan tembakau
openai/whisper-small;22.56;2.5369;0.1125;0.1579;walaupun sering kali ini hanya stereotip yang tidak akurat cara terbaik untuk tetap bergaul di paris adalah dengan berperilaku terbaik bertindak seperti seseorang yang bien ã©levã© dibesarkan dengan baik hal tersebut membuat perjalanan berkeliling anda jauh lebih mudah;walaupun sering kali ini hanya stereotip yang tidak akurat cara terbaik untuk tetap bergaul di paris adalah dengan berbeli laku terbaik berdindak seperti seorang yang bien atau levat dibesarkan dengan baik hal tersebut membuat perjalanan berkeliling anda jauh lebih mudah
openai/whisper-small;10.5;0.9885;0.0941;0.1538;casablanca adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh maroko;kasa belanka adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh maroko
openai/whisper-small;6.78;0.9625;0.142;0.0833;orangorang sekarang menulis pesan di layar komputer tidak pernah harus menggunakan rautan;orangorang sekarang menunis pesan di layar komputer tidak pernah harus menggunakan rautan
openai/whisper-small;7.32;0.8201;0.112;0.0;namun ada banyak hal tentang burung yang masih terlihat seperti dinosaurus;namun ada banyak hal tentang burung yang masih terlihat seperti dinosaurus
openai/whisper-small;20.34;1.9232;0.0946;0.1667;institut keadilan dan demokrasi haiti telah mereferensikan penelitian independen yang mengemukakan batalion penjaga perdamaian pbb nepal secara tanpa sadar membawa penyakit itu ke haiti;institute keadilan dan demokrasi haiti telah mereferensikan penelitian indipenden yang mengamukakan batalion penjaga perdamian pbb nepal secara tanpa sadar membawa penyakit itu ke haiti
openai/whisper-small;13.44;1.2121;0.0902;0.0;hal ini memberikan kesempatan yang baik untuk melihat aurora borealis karena langit akan lebih gelap pada sekitar waktu tersebut;hal ini memberikan kesempatan yang baik untuk melihat aurora borealis karena langit akan lebih gelap pada sekitar waktu tersebut
openai/whisper-small;13.38;1.8124;0.1355;0.1333;ini adalah tempat yang direbut oleh penjajah inggris sebagai milik mereka dan apabila anda sedang mencari bukti wilayah kolonial di masa lalu di sini adalah tempat yang tepat untuk memulai;ini adalah tempat yang direbut oleh penjaja inggris sebagai milik mereka dan apabila anda sedang mencari bukti belaya kolonial di masa lalu disini adalah tempat yang tepat untuk memulai
openai/whisper-small;8.22;1.1642;0.1416;0.0;beberapa atom memiliki inti yang tidak stabil yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan;beberapa atom memiliki inti yang tidak stabil yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan
openai/whisper-small;9.96;1.1004;0.1105;0.0625;ion hidrogen adalah proton yang elektronnya dilucuti sebab atom hidrogen memiliki satu proton dan satu elektron;ion hidrogen adalah proton yang elektronnya dilujuti sebab atom hidrogen memiliki satu proton dan satu elektron
openai/whisper-small;11.76;1.3196;0.1122;0.3333;segregasi dan rekombinasi mengocok variasi bolakbalik antara dua kolam dengan masingmasing generasi;saya gredasi dan rekombinasi mencoba varian bolakbalik antara dua kolam dengan masingmasing generasi
openai/whisper-small;13.14;1.6669;0.1269;0.0556;peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekelompok orang yang hidup dan bekerja bersama sebagai masyarakat;peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekolah orang yang hidup dan bekerja bersama sebagai masyarakat
openai/whisper-small;6.18;1.102;0.1783;0.5;serupa halnya dengan itu pria diharuskan memakai celana panjang yang menutup lutut;serupa halnya dengan itu perlihat dia harus memakai jalanan panjang yang menutupbutut
openai/whisper-small;20.94;2.3147;0.1105;0.0714;ini tidak sendirian eksperimentasi dan sebuah eksperimen adalah tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis mengajukan pertanyaan dan membuat pengamatan juga memandu penelitian ilmiah;ini tidak sendirian eksperimentasi dan sebuah eksperimen dalam tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis mengajukan pertanyaan dan membuat pengamatan juga memandu peneritian ilmiah
openai/whisper-small;10.32;1.1921;0.1155;0.2857;saat ia bekerja di rumah sakit liggins mulai menyelidiki persalinan prematur selama waktu luangnya;saatnya bekerja di rumah sakit ligin mulai menyelidiki persaliran prematur selama waktu luangnya
openai/whisper-small;11.88;1.3708;0.1154;0.0556;kota ini sangat kontras dengan kotakota lain di negara tersebut sebab kota tersebut lebih bergaya arab ketimbang afrika;kota ini sangat kontras dengan kotakota lain di negara tersebut sebab kota tersebut lebih bergaya arat ketimbang afrika
